ID,Education,Marital_Status,Income,Dt_Customer,Wine,Fruit,Meat,Fish,Sweet,Gold,Discount_Purchase,Web_Purchase,Catalog_Purchase,Store_Purchase,Web_Visit,Campaign3,Campaign4,Campaign5,Campaign1,Campaign2,Complain,Latest_Campaign,Day_Join,Month_Join,Year_Join,Income Category,Generation,Family_Size,T_AmountSpent,T_Purchase,T_AcceptedCampaign
5524,Undergraduate,Unmarried,58138.0,2012-09-04,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,4,9,2012,Middle,Baby Boomer,1,1617,22,1
2174,Undergraduate,Unmarried,46344.0,2014-03-08,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,8,3,2014,Middle,Baby Boomer,3,27,4,0
4141,Undergraduate,Married,71613.0,2013-08-21,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,21,8,2013,Middle,Gen X,2,776,20,0
6182,Undergraduate,Married,26646.0,2014-02-10,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,10,2,2014,Low,Millennial,3,53,6,0
5324,Postgraduate,Married,58293.0,2014-01-19,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,19,1,2014,Middle,Millennial,3,422,14,0
7446,Postgraduate,Married,62513.0,2013-09-09,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,9,9,2013,Middle,Gen X,3,716,20,0
965,Undergraduate,Unmarried,55635.0,2012-11-13,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,13,11,2012,Middle,Gen X,2,590,17,0
6177,Postgraduate,Married,33454.0,2013-05-08,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,8,5,2013,Low,Millennial,3,169,8,0
4855,Postgraduate,Married,30351.0,2013-06-06,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,6,6,2013,Low,Gen X,3,46,5,1
5899,Postgraduate,Married,5648.0,2014-03-13,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,13,3,2014,Low,Baby Boomer,4,49,1,1
1994,Undergraduate,Married,51381.5,2013-11-15,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,15,11,2013,Middle,Millennial,3,19,3,0
387,Basic,Married,7500.0,2012-11-13,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,13,11,2012,Low,Gen X,2,61,5,0
2125,Undergraduate,Unmarried,63033.0,2013-11-15,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,15,11,2013,Middle,Baby Boomer,1,1102,15,0
8180,Postgraduate,Unmarried,59354.0,2013-11-15,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,15,11,2013,Middle,Baby Boomer,3,310,12,0
